Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Item,Item Price Per Tonne,Overall Inflation Rate
Albania,2015,4.294233333333334,11386.924853,-13.919579,Olives,1429.0,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Onions and shallots, dry (excluding dehydrated)",317.6,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Onions and shallots, green",508.1,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Oranges,444.6,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",3151.8,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Peaches and nectarines,627.2,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Pears,698.6,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Plums and sloes,357.3,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Potatoes,246.1,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Pumpkins, squash and gourds",404.9,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Quinces,563.7,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Raw milk of cattle,418.5,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Raw milk of goats,415.3,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Raw milk of sheep,436.0,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Rye,381.1,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Shorn wool, greasy, including fleece-washed shorn wool",385.0,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Soya beans,793.9,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Spinach,524.0,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Sunflower seed,1032.1,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,"Tangerines, mandarins, clementines",468.4,3.2
Albania,2015,4.294233333333334,11386.924853,-13.919579,Tomatoes,460.5,3.2
